quote,year,observations,avg_rate,start_rate,end_rate,annual_change_pct,volatility_pct,min_rate,max_rate
GBP,2021,365,0.7274383287671233,0.73424,0.74189,1.0418936587491823,0.23567355006389534,0.7052,0.75767
GBP,2022,365,0.8114383013698631,0.74179,0.83009,11.903638496070323,0.44075490616956525,0.72949,0.93334
GBP,2023,365,0.8046117260273973,0.8302,0.78478,-5.470970850397494,0.28112581540389053,0.76381,0.84118
GBP,2024,366,0.7825248360655738,0.78491,0.79595,1.406530685046703,0.20217068462755508,0.74702,0.80803
GBP,2025,365,0.759059506849315,0.7965,0.74211,-6.828625235404884,0.2650064871841391,0.7282,0.82077
GBP,2026,245,0.7434344897959183,0.74247,0.73973,-0.36903847966920367,0.21785105252689488,0.72457,0.75844
GHS,2015,258,3.748113178294574,3.2024,3.8138,19.09193105171123,0.9285636030215076,3.2008,4.373
GHS,2016,259,3.9391814671814673,3.8138,4.2491,11.413812994913219,0.45908861656390615,3.7976,4.261
GHS,2017,257,4.391152140077821,4.2586,4.5065,5.821161884187287,0.43993664524351345,4.1511,4.6457
GHS,2018,259,4.674253667953668,4.523,4.8377,6.957771390669909,0.36645179470103306,4.4071,4.9022
GHS,2019,261,5.317749808429119,4.8643,5.6641,16.44224246037458,0.8847017552464878,4.8539,5.678
GHS,2020,262,5.730274427480916,5.6601,5.8794,3.8744898500026492,0.6277633386110552,5.3008,5.9187
GHS,2021,260,5.9117380769230765,5.8954,6.1354,4.070970587237488,0.38814952534290315,5.7369,6.1655
GHS,2022,258,8.924343410852712,6.1445,9.6555,57.14053218325332,2.1001475310302484,6.1445,14.6806
GHS,2023,256,11.58558046875,10.0223,11.9614,19.347854284944567,1.5588359802062184,10.0223,12.8662
GHS,2024,259,14.41182277992278,11.9639,14.5909,21.95772281613855,0.5425985554166558,11.9412,16.3546
GHS,2025,258,12.566572480620154,14.5909,10.4701,-28.24226058707824,0.9697622813361201,10.2383,15.6824
GHS,2026,173,11.177343930635837,10.4766,11.2759,7.629383578641935,0.6092873410617361,10.4766,11.8567
KES,2015,365,98.18906849315069,90.65,102.44,13.006067291781577,0.20770593101685422,90.65,106.03
KES,2016,366,101.51360655737706,102.41,102.26,-0.1464700712820899,0.0872042708367982,100.51,102.57
KES,2017,365,103.39087671232876,102.32,103.1,0.762314308053158,0.07362432763078577,102.32,104.02
KES,2018,365,101.30635616438356,103.16,101.8,-1.3183404420317957,0.10815452451658006,100.05,103.4
KES,2019,365,101.99739726027398,101.8,101.4,-0.39292730844793233,0.13094744065675715,99.64,104.37
KES,2020,366,106.4683606557377,101.41,109.39,7.869046445123762,0.1775847961266874,100.4,111.58
KES,2021,365,109.63641095890411,109.4,113.11,3.3912248628884756,0.1017830190353522,106.57,113.11
KES,2022,364,117.86282967032967,113.11,123.33,9.03545221465829,0.07596546568682687,113.1,123.34
KES,2023,365,139.83180821917807,123.35,156.83,27.142278070531024,0.09247308463976503,123.33,156.84
KES,2024,366,134.7675136612022,156.78,129.14,-17.62979971935197,0.3488495836388733,128.13,162.98
KES,2025,365,129.09276712328767,129.14,128.86,-0.21681895617157165,0.05967659318517821,128.66,129.85
KES,2026,245,129.1386530612245,128.86,129.32,0.35697656371254105,0.053568382629733256,128.72,129.9
NGN,2015,258,197.28949612403102,182.94,198.61,8.565649939871012,0.622949934349257,178.32,203.27
NGN,2016,259,256.42822393822394,198.6,307.65,54.90936555891237,1.8158057549251145,197.27,330.42
NGN,2017,257,310.0976653696498,305.79,305.23,-0.18313221491873533,1.6335994563718272,305.14,365.71
NGN,2018,258,306.8222093023256,305.63,306.34,0.23230703792165297,0.48254117136639724,304.63,311.91
NGN,2019,258,306.72972868217056,306.33,305.69,-0.20892501550614506,0.2150798564038674,305.4,310.23
NGN,2020,260,357.9334230769231,305.69,384.44,25.76139226013281,1.363704924826824,305.11,385.72
NGN,2021,261,400.7445593869732,386.08,412.01,6.716224616659772,0.43472636827703887,380.15,414.09
NGN,2022,260,423.6657307692308,414.16,447.44,8.035541819586633,0.20104019987200814,412.29,452.49
NGN,2023,257,639.8598054474709,449.82,901.24,100.35569783468942,1.890181727673664,447.95,909.81
NGN,2024,259,1479.0002316602317,907.74,1539.41,69.5871064401701,2.426845216181394,874.91,1694.39
NGN,2025,315,1513.101111111111,1538.56,1444.71,-6.099859608985014,0.3742070327388201,1435.99,1633.42
NGN,2026,243,1374.279012345679,1443.8,1330.55,-7.8438841944867725,0.30819577892222333,1330.55,1443.8
TZS,2015,363,2028.390523415978,1730.16,2160.82,24.8913395292921,0.8085442763079961,1727.76,2322.07
TZS,2016,366,2184.3863661202186,2160.82,2172.03,0.518784535500405,0.13830486211871054,2160.21,2202.84
TZS,2017,365,2234.5210684931503,2173.58,2232.26,2.699693593058461,0.129305464539884,2173.58,2270.65
TZS,2018,365,2273.7896438356165,2233.44,2295.71,2.7880757933949507,0.10193834884898222,2233.44,2306.41
TZS,2019,365,2303.1212328767124,2295.33,2298.4,0.13374983117897532,0.09477869020340668,2289.99,2351.3
TZS,2020,366,2311.4061202185794,2298.5,2321.47,0.9993474004785563,0.07930128770280077,2294.85,2321.78
TZS,2021,365,2311.751232876712,2321.47,2301.85,-0.8451541480182789,0.061499899356469934,2294.71,2323.36
TZS,2022,365,2321.5869589041095,2301.86,2328.45,1.1551527894832825,0.09270831761561249,2298.35,2337.94
